TEST ID,RULE NUMBER,CASE DESCRIPTION,CREATED_TIMESTAMP,FORM_ID,FORM_ID_SEQ,ALIEN_ID,ALIEN_SEQ,EMPLOYER_ID,COMPANYNAME_TH,COMPANYNAME_EN,BUS_TYPE_ID,JOB_DESCRIPTION,EMPLOYER_NO,"JOB ANOMALY
(ตำแหน่งงานที่จ้างมากกว่าปกติ)",MASTER_FORM_TYPE,MASTER_FORM_STATUS,VALID_UNTIL,UNNAMED: 18
TC01,1.0,กรณีผิดปกติ: กลุ่มคนต่างด้าวยังไม่ได้แจ้งออกจากที่เก่า,2024-04-27 11:11:00,00001,1,00001,1,002,งจฉ,DEF,18.0,กรรมกร,12345678,,MT_59,Consider request round1,2027-04-14 11:10:59.995,Abnormal
TC02,1.0,กรณีปกติ: นายจ้างมีการจ้างคนต่างด้าวในลักษณะงานและตำแหน่งต่างกัน แต่จำนวนคนเกิน 10 คน,2024-04-27 11:11:00,00002,2,00002,1,003,พลังเยอะ ไม่ จำกัด,"PalangYer Mai Co., Ltd.",9.0,กรรมกร,12345679,,MT_59,Consider request round1,2027-04-15 11:11:00.000,Normal
TC02,1.0,กรณีปกติ: นายจ้างมีการจ้างคนต่างด้าวในลักษณะงานและตำแหน่งต่างกัน แต่จำนวนคนเกิน 10 คน,2024-04-27 11:11:00,00002,2,00003,2,003,พลังเยอะ ไม่ จำกัด,"PalangYer Mai Co., Ltd.",9.0,งานขายของหน้าร้าน,12345679,,MT_59,Consider request round1,2027-04-15 11:11:00.000,Normal
TC02,1.0,กรณีปกติ: นายจ้างมีการจ้างคนต่างด้าวในลักษณะงานและตำแหน่งต่างกัน แต่จำนวนคนเกิน 10 คน,2024-04-27 11:11:00,00002,2,00004,3,003,พลังเยอะ ไม่ จำกัด,"PalangYer Mai Co., Ltd.",9.0,กรรมกร,12345679,,MT_59,Consider request round1,2027-04-15 11:11:00.000,Normal
TC02,1.0,กรณีปกติ: นายจ้างมีการจ้างคนต่างด้าวในลักษณะงานและตำแหน่งต่างกัน แต่จำนวนคนเกิน 10 คน,2024-04-27 11:11:00,00002,2,00005,4,003,พลังเยอะ ไม่ จำกัด,"PalangYer Mai Co., Ltd.",9.0,งานทํามือ,12345679,,MT_59,Consider request round1,2027-04-15 11:11:00.000,Normal
TC02,1.0,กรณีปกติ: นายจ้างมีการจ้างคนต่างด้าวในลักษณะงานและตำแหน่งต่างกัน แต่จำนวนคนเกิน 10 คน,2024-04-27 11:11:00,00002,2,00006,5,003,พลังเยอะ ไม่ จำกัด,"PalangYer Mai Co., Ltd.",9.0,กรรมกร,12345679,,MT_59,Consider request round1,2027-04-15 11:11:00.000,Normal
TC02,1.0,กรณีปกติ: นายจ้างมีการจ้างคนต่างด้าวในลักษณะงานและตำแหน่งต่างกัน แต่จำนวนคนเกิน 10 คน,2024-04-27 11:11:00,00002,2,00007,6,003,พลังเยอะ ไม่ จำกัด,"PalangYer Mai Co., Ltd.",9.0,งานขายของหน้าร้าน,12345679,,MT_59,Consider request round1,2027-04-15 11:11:00.000,Normal
TC02,1.0,กรณีปกติ: นายจ้างมีการจ้างคนต่างด้าวในลักษณะงานและตำแหน่งต่างกัน แต่จำนวนคนเกิน 10 คน,2024-04-27 11:11:00,00002,2,00008,7,003,พลังเยอะ ไม่ จำกัด,"PalangYer Mai Co., Ltd.",9.0,กรรมกร,12345679,,MT_59,Consider request round1,2027-04-15 11:11:00.000,Normal
TC02,1.0,กรณีปกติ: นายจ้างมีการจ้างคนต่างด้าวในลักษณะงานและตำแหน่งต่างกัน แต่จำนวนคนเกิน 10 คน,2024-04-27 11:11:00,00002,2,00009,8,003,พลังเยอะ ไม่ จำกัด,"PalangYer Mai Co., Ltd.",9.0,งานทํามือ,12345679,,MT_59,Consider request round1,2027-04-15 11:11:00.000,Normal
TC02,1.0,กรณีปกติ: นายจ้างมีการจ้างคนต่างด้าวในลักษณะงานและตำแหน่งต่างกัน แต่จำนวนคนเกิน 10 คน,2024-04-27 11:11:00,00002,2,00010,9,003,พลังเยอะ ไม่ จำกัด,"PalangYer Mai Co., Ltd.",9.0,กรรมกร,12345679,,MT_59,Consider request round1,2027-04-15 11:11:00.000,Normal
